voter_id,voter_age,voter_gender,candidate_id
261-188-382,69,Female,875-393
515-700-305,84,Male,213-846
192-662-391,89,Female,521-757
935-383-331,42,Female,875-393
688-104-367,40,Female,151-426
209-672-174,82,Female,521-757
219-922-625,50,Female,875-393
486-676-595,49,Female,875-393
797-571-700,21,Female,213-846
364-169-491,46,Male,521-757
522-461-628,86,Male,521-757
354-394-195,69,Female,213-846
667-282-587,58,Female,855-525
687-375-287,42,Female,855-525
340-853-347,51,Male,855-525
307-954-355,63,Male,213-846
222-180-792,81,Male,151-426
143-968-593,65,Female,875-393
688-989-381,80,Male,151-426
386-507-327,34,Male,151-426
918-533-589,87,Male,151-426
455-503-981,40,Female,213-846
815-630-571,58,Male,213-846
790-315-488,30,Female,521-757
727-982-365,41,Female,855-525
375-582-727,61,Female,855-525
610-534-315,71,Female,521-757
974-510-386,75,Male,151-426
234-689-802,47,Male,521-757
923-341-668,73,Female,855-525
249-919-856,37,Female,213-846
280-531-611,35,Female,875-393
407-356-675,90,Male,875-393
201-807-267,25,Male,521-757
587-959-744,30,Female,521-757
366-469-468,89,Female,521-757
120-521-224,62,Male,151-426
689-765-764,86,Male,521-757
463-432-789,83,Female,875-393
180-490-728,54,Female,855-525
989-271-755,61,Female,151-426
685-514-969,27,Male,855-525
451-333-421,58,Female,521-757
719-760-504,52,Female,521-757
865-701-633,75,Female,855-525
288-974-123,34,Male,521-757
861-817-867,28,Male,855-525
506-205-197,26,Female,151-426
155-126-889,68,Male,213-846
368-732-259,28,Female,521-757
334-353-855,54,Female,855-525
234-639-958,39,Male,213-846
779-465-981,59,Female,875-393
991-653-378,88,Female,855-525
814-652-281,76,Female,151-426
755-754-646,57,Female,875-393
652-332-924,29,Female,521-757
474-522-366,37,Female,213-846
100-635-934,35,Female,521-757
580-647-108,80,Female,521-757
109-884-540,55,Male,213-846
661-482-293,70,Female,875-393
355-267-832,67,Female,855-525
369-181-532,48,Female,521-757
764-860-644,52,Female,855-525
973-170-286,35,Female,213-846
752-566-732,75,Female,151-426
603-292-428,20,Male,213-846
789-456-333,86,Male,855-525
789-456-444,31,Female,521-757
