voter_id,voter_age,voter_gender,candidate_id
280-506-819,28,Male,521-757
207-361-178,28,Female,151-426
466-401-933,32,Female,151-426
736-229-319,82,Female,151-426
787-331-934,34,Female,521-757
598-196-509,31,Male,875-393
564-634-863,27,Male,855-525
967-318-916,37,Female,521-757
271-307-999,50,Female,151-426
792-407-453,46,Male,875-393
934-385-382,39,Female,875-393
844-740-642,28,Female,855-525
200-886-703,42,Female,521-757
842-551-762,36,Female,855-525
441-868-199,59,Female,855-525
533-757-642,88,Male,213-846
766-639-195,64,Female,875-393
101-777-767,22,Female,151-426
157-358-975,53,Female,151-426
340-487-631,49,Female,151-426
440-663-708,28,Female,875-393
243-103-792,88,Male,855-525
481-108-536,84,Male,213-846
415-476-593,47,Female,855-525
737-562-852,21,Male,855-525
411-174-106,53,Female,875-393
232-996-529,52,Female,875-393
453-111-884,84,Male,521-757
122-385-844,55,Male,213-846
664-820-607,39,Male,521-757
391-405-219,85,Female,521-757
250-846-990,89,Female,521-757
729-875-834,64,Female,213-846
596-215-752,60,Female,875-393
428-647-973,45,Female,151-426
957-527-408,21,Male,151-426
837-218-727,48,Male,855-525
396-575-682,68,Female,855-525
943-908-817,70,Male,213-846
899-542-706,61,Male,875-393
680-326-905,78,Male,213-846
974-158-282,35,Male,213-846
808-264-248,76,Female,875-393
970-686-411,24,Male,855-525
889-364-569,84,Male,151-426
883-139-110,39,Female,875-393
254-988-197,70,Male,151-426
988-499-646,34,Female,521-757
398-167-316,57,Female,521-757
635-696-840,78,Female,875-393
587-120-165,71,Female,213-846
658-282-326,71,Male,151-426
277-953-484,70,Female,151-426
106-567-282,63,Female,151-426
807-158-698,47,Male,521-757
189-339-877,69,Male,875-393
165-453-314,76,Male,875-393
390-342-766,20,Female,213-846
463-103-802,25,Male,875-393
771-970-668,78,Male,213-846
736-960-727,72,Female,213-846
812-452-702,64,Female,855-525
395-174-834,71,Female,521-757
411-822-350,24,Female,855-525
806-186-422,75,Female,855-525
241-832-575,81,Male,855-525
647-686-666,79,Female,213-846
439-808-387,55,Female,875-393
789-456-333,79,Male,855-525
789-456-444,68,Male,855-525
